t	Ecin	Epot	Rg	buf4	buf5
40225.000000	0.500356	0.510466	0.798289	0.658589	-0.002118
40226.000000	0.500353	0.510460	0.798288	0.658587	-0.002126
40227.000000	0.500353	0.510454	0.798282	0.658578	-0.002125
40228.000000	0.500361	0.510454	0.798280	0.658574	-0.002120
40229.000000	0.500364	0.510451	0.798276	0.658569	-0.002118
40230.000000	0.500363	0.510448	0.798276	0.658568	-0.002123
40231.000000	0.500364	0.510458	0.798276	0.658568	-0.002120
40232.000000	0.500368	0.510470	0.798276	0.658567	-0.002113
40233.000000	0.500366	0.510470	0.798282	0.658577	-0.002100
40234.000000	0.500361	0.510465	0.798283	0.658579	-0.002090
40235.000000	0.500363	0.510462	0.798278	0.658571	-0.002092
40236.000000	0.500366	0.510464	0.798278	0.658572	-0.002084
40237.000000	0.500373	0.510460	0.798282	0.658578	-0.002075
40238.000000	0.500368	0.510457	0.798282	0.658577	-0.002077
40239.000000	0.500366	0.510460	0.798280	0.658575	-0.002084
40240.000000	0.500363	0.510459	0.798280	0.658574	-0.002091
40241.000000	0.500362	0.510462	0.798275	0.658566	-0.002093
40242.000000	0.500365	0.510472	0.798271	0.658561	-0.002082
40243.000000	0.500369	0.510469	0.798272	0.658561	-0.002069
40244.000000	0.500372	0.510471	0.798269	0.658556	-0.002068
40245.000000	0.500369	0.510469	0.798269	0.658556	-0.002066
40246.000000	0.500376	0.510471	0.798267	0.658552	-0.002060
40247.000000	0.500376	0.510473	0.798264	0.658548	-0.002056
40248.000000	0.500376	0.510470	0.798261	0.658543	-0.002059
40249.000000	0.500372	0.510475	0.798260	0.658540	-0.002066
40250.000000	0.500372	0.510480	0.798260	0.658540	-0.002075
40251.000000	0.500373	0.510490	0.798257	0.658536	-0.002071
40252.000000	0.500370	0.510491	0.798260	0.658540	-0.002063
40253.000000	0.500367	0.510487	0.798261	0.658540	-0.002051
40254.000000	0.500370	0.510487	0.798260	0.658539	-0.002050
40255.000000	0.500371	0.510484	0.798261	0.658540	-0.002064
40256.000000	0.500379	0.510497	0.798261	0.658540	-0.002077
40257.000000	0.500384	0.510517	0.798257	0.658534	-0.002085
40258.000000	0.500384	0.510524	0.798251	0.658524	-0.002086
40259.000000	0.500380	0.510522	0.798245	0.658516	-0.002084
40260.000000	0.500384	0.510515	0.798243	0.658513	-0.002086
40261.000000	0.500390	0.510515	0.798248	0.658521	-0.002100
40262.000000	0.500391	0.510521	0.798247	0.658520	-0.002100
40263.000000	0.500389	0.510516	0.798253	0.658531	-0.002091
40264.000000	0.500382	0.510513	0.798257	0.658537	-0.002079
40265.000000	0.500380	0.510511	0.798263	0.658548	-0.002069
40266.000000	0.500377	0.510503	0.798267	0.658555	-0.002058
40267.000000	0.500375	0.510505	0.798266	0.658553	-0.002051
40268.000000	0.500373	0.510510	0.798261	0.658546	-0.002049
40269.000000	0.500375	0.510521	0.798256	0.658538	-0.002047
40270.000000	0.500377	0.510520	0.798259	0.658544	-0.002046
40271.000000	0.500376	0.510519	0.798260	0.658546	-0.002040
40272.000000	0.500376	0.510520	0.798256	0.658540	-0.002038
40273.000000	0.500380	0.510520	0.798257	0.658540	-0.002027
40274.000000	0.500380	0.510521	0.798261	0.658548	-0.002010
40275.000000	0.500383	0.510527	0.798265	0.658553	-0.002004
40276.000000	0.500389	0.510524	0.798269	0.658560	-0.002010
40277.000000	0.500386	0.510518	0.798274	0.658569	-0.002013
40278.000000	0.500385	0.510517	0.798275	0.658571	-0.002005
40279.000000	0.500385	0.510518	0.798280	0.658579	-0.001987
40280.000000	0.500389	0.510522	0.798284	0.658585	-0.001968
40281.000000	0.500393	0.510516	0.798287	0.658590	-0.001954
40282.000000	0.500391	0.510506	0.798283	0.658584	-0.001952
40283.000000	0.500384	0.510498	0.798283	0.658583	-0.001961
40284.000000	0.500382	0.510493	0.798284	0.658584	-0.001964
40285.000000	0.500380	0.510491	0.798283	0.658583	-0.001958
40286.000000	0.500377	0.510494	0.798282	0.658580	-0.001953
40287.000000	0.500383	0.510501	0.798282	0.658580	-0.001954
40288.000000	0.500386	0.510501	0.798287	0.658587	-0.001952
40289.000000	0.500384	0.510494	0.798291	0.658595	-0.001949
40290.000000	0.500384	0.510488	0.798295	0.658601	-0.001954
40291.000000	0.500389	0.510488	0.798298	0.658607	-0.001967
40292.000000	0.500387	0.510487	0.798297	0.658605	-0.001973
40293.000000	0.500388	0.510497	0.798295	0.658601	-0.001974
40294.000000	0.500387	0.510498	0.798296	0.658602	-0.001979
40295.000000	0.500385	0.510501	0.798300	0.658609	-0.001980
40296.000000	0.500384	0.510499	0.798304	0.658615	-0.001967
40297.000000	0.500387	0.510503	0.798303	0.658613	-0.001957
40298.000000	0.500387	0.510512	0.798298	0.658606	-0.001956
40299.000000	0.500384	0.510508	0.798293	0.658599	-0.001955
40300.000000	0.500379	0.510504	0.798292	0.658596	-0.001961
40301.000000	0.500376	0.510503	0.798290	0.658592	-0.001969
40302.000000	0.500378	0.510505	0.798289	0.658590	-0.001982
40303.000000	0.500379	0.510514	0.798288	0.658589	-0.001993
40304.000000	0.500387	0.510523	0.798284	0.658583	-0.001990
40305.000000	0.500391	0.510529	0.798281	0.658578	-0.001988
40306.000000	0.500390	0.510537	0.798279	0.658574	-0.001995
40307.000000	0.500385	0.510530	0.798278	0.658572	-0.001998
40308.000000	0.500381	0.510527	0.798278	0.658573	-0.001996
40309.000000	0.500379	0.510526	0.798273	0.658565	-0.001999
40310.000000	0.500377	0.510524	0.798270	0.658559	-0.002002
40311.000000	0.500390	0.510533	0.798270	0.658561	-0.002001
40312.000000	0.500395	0.510544	0.798274	0.658567	-0.001998
40313.000000	0.500400	0.510552	0.798274	0.658566	-0.001993
40314.000000	0.500404	0.510563	0.798271	0.658562	-0.001990
40315.000000	0.500406	0.510572	0.798277	0.658574	-0.001985
40316.000000	0.500414	0.510582	0.798275	0.658570	-0.001987
40317.000000	0.500413	0.510582	0.798278	0.658574	-0.001994
40318.000000	0.500417	0.510579	0.798278	0.658573	-0.001991
40319.000000	0.500423	0.510582	0.798277	0.658572	-0.001985
40320.000000	0.500437	0.510603	0.798282	0.658581	-0.001985
40321.000000	0.500445	0.510615	0.798278	0.658574	-0.001986
40322.000000	0.500452	0.510619	0.798273	0.658567	-0.001982
40323.000000	0.500454	0.510614	0.798270	0.658563	-0.001984
40324.000000	0.500456	0.510615	0.798267	0.658558	-0.001981
40325.000000	0.500457	0.510609	0.798271	0.658565	-0.001974
40326.000000	0.500453	0.510608	0.798270	0.658562	-0.001966
40327.000000	0.500450	0.510618	0.798266	0.658557	-0.001965
40328.000000	0.500452	0.510624	0.798262	0.658550	-0.001966
40329.000000	0.500460	0.510628	0.798259	0.658546	-0.001961
40330.000000	0.500463	0.510633	0.798258	0.658544	-0.001953
40331.000000	0.500469	0.510632	0.798261	0.658547	-0.001949
40332.000000	0.500473	0.510636	0.798262	0.658550	-0.001957
40333.000000	0.500476	0.510632	0.798266	0.658557	-0.001972
40334.000000	0.500474	0.510628	0.798266	0.658556	-0.001980
40335.000000	0.500477	0.510627	0.798263	0.658551	-0.001985
40336.000000	0.500475	0.510628	0.798264	0.658553	-0.001976
40337.000000	0.500477	0.510634	0.798268	0.658560	-0.001961
40338.000000	0.500480	0.510641	0.798273	0.658568	-0.001962
40339.000000	0.500477	0.510633	0.798277	0.658575	-0.001976
40340.000000	0.500476	0.510625	0.798275	0.658571	-0.001978
40341.000000	0.500474	0.510626	0.798277	0.658574	-0.001964
40342.000000	0.500471	0.510623	0.798282	0.658583	-0.001946
40343.000000	0.500466	0.510620	0.798281	0.658580	-0.001940
40344.000000	0.500462	0.510614	0.798280	0.658578	-0.001938
40345.000000	0.500460	0.510609	0.798278	0.658575	-0.001941
40346.000000	0.500460	0.510608	0.798281	0.658581	-0.001956
40347.000000	0.500461	0.510606	0.798284	0.658584	-0.001962
40348.000000	0.500468	0.510606	0.798282	0.658581	-0.001959
40349.000000	0.500469	0.510612	0.798282	0.658581	-0.001947
40350.000000	0.500468	0.510606	0.798282	0.658581	-0.001936
40351.000000	0.500467	0.510602	0.798285	0.658585	-0.001923
40352.000000	0.500463	0.510602	0.798289	0.658593	-0.001914
40353.000000	0.500467	0.510617	0.798285	0.658586	-0.001913
40354.000000	0.500478	0.510652	0.798285	0.658586	-0.001909
40355.000000	0.500485	0.510676	0.798286	0.658587	-0.001899
40356.000000	0.500482	0.510680	0.798280	0.658579	-0.001901
40357.000000	0.500479	0.510687	0.798275	0.658571	-0.001910
40358.000000	0.500478	0.510684	0.798278	0.658576	-0.001921
40359.000000	0.500476	0.510679	0.798282	0.658582	-0.001920
40360.000000	0.500470	0.510677	0.798282	0.658582	-0.001911
40361.000000	0.500466	0.510676	0.798281	0.658581	-0.001901
40362.000000	0.500462	0.510673	0.798277	0.658575	-0.001897
40363.000000	0.500461	0.510668	0.798279	0.658577	-0.001890
40364.000000	0.500463	0.510665	0.798283	0.658584	-0.001886
40365.000000	0.500463	0.510667	0.798281	0.658580	-0.001894
40366.000000	0.500460	0.510667	0.798277	0.658573	-0.001902
40367.000000	0.500457	0.510660	0.798275	0.658571	-0.001916
40368.000000	0.500453	0.510660	0.798275	0.658571	-0.001924
40369.000000	0.500456	0.510660	0.798275	0.658570	-0.001922
40370.000000	0.500457	0.510669	0.798274	0.658568	-0.001917
40371.000000	0.500463	0.510680	0.798277	0.658572	-0.001915
40372.000000	0.500466	0.510679	0.798276	0.658570	-0.001909
40373.000000	0.500461	0.510672	0.798270	0.658561	-0.001907
40374.000000	0.500462	0.510674	0.798263	0.658552	-0.001902
40375.000000	0.500461	0.510671	0.798259	0.658545	-0.001898
40376.000000	0.500456	0.510669	0.798258	0.658543	-0.001888
40377.000000	0.500456	0.510671	0.798259	0.658546	-0.001874
40378.000000	0.500458	0.510667	0.798259	0.658544	-0.001865
40379.000000	0.500456	0.510663	0.798258	0.658543	-0.001867
40380.000000	0.500453	0.510657	0.798260	0.658546	-0.001878
40381.000000	0.500452	0.510651	0.798264	0.658552	-0.001878
40382.000000	0.500448	0.510646	0.798263	0.658549	-0.001871
40383.000000	0.500447	0.510645	0.798258	0.658543	-0.001870
40384.000000	0.500441	0.510636	0.798252	0.658534	-0.001866
40385.000000	0.500438	0.510632	0.798246	0.658525	-0.001864
40386.000000	0.500435	0.510628	0.798242	0.658519	-0.001869
40387.000000	0.500437	0.510630	0.798239	0.658514	-0.001877
40388.000000	0.500434	0.510624	0.798234	0.658507	-0.001881
40389.000000	0.500430	0.510619	0.798231	0.658502	-0.001885
40390.000000	0.500425	0.510616	0.798229	0.658498	-0.001891
40391.000000	0.500423	0.510617	0.798225	0.658491	-0.001893
40392.000000	0.500421	0.510622	0.798220	0.658484	-0.001891
40393.000000	0.500419	0.510625	0.798222	0.658487	-0.001902
40394.000000	0.500416	0.510632	0.798225	0.658492	-0.001919
40395.000000	0.500416	0.510632	0.798219	0.658484	-0.001927
40396.000000	0.500413	0.510630	0.798220	0.658485	-0.001933
40397.000000	0.500419	0.510634	0.798218	0.658481	-0.001939
40398.000000	0.500422	0.510639	0.798215	0.658477	-0.001944
40399.000000	0.500424	0.510640	0.798212	0.658472	-0.001946
40400.000000	0.500429	0.510647	0.798212	0.658472	-0.001946
40401.000000	0.500429	0.510653	0.798211	0.658470	-0.001942
40402.000000	0.500425	0.510661	0.798214	0.658475	-0.001935
40403.000000	0.500424	0.510660	0.798219	0.658483	-0.001923
40404.000000	0.500428	0.510665	0.798217	0.658480	-0.001920
40405.000000	0.500429	0.510671	0.798216	0.658477	-0.001922
40406.000000	0.500431	0.510685	0.798216	0.658477	-0.001925
40407.000000	0.500435	0.510700	0.798218	0.658480	-0.001936
40408.000000	0.500436	0.510701	0.798223	0.658490	-0.001954
40409.000000	0.500440	0.510696	0.798222	0.658487	-0.001953
40410.000000	0.500442	0.510691	0.798223	0.658488	-0.001940
40411.000000	0.500459	0.510692	0.798223	0.658488	-0.001941
40412.000000	0.500466	0.510700	0.798228	0.658498	-0.001948
40413.000000	0.500464	0.510694	0.798225	0.658492	-0.001952
40414.000000	0.500465	0.510694	0.798230	0.658500	-0.001969
40415.000000	0.500465	0.510692	0.798233	0.658506	-0.001986
40416.000000	0.500462	0.510687	0.798239	0.658516	-0.001996
40417.000000	0.500459	0.510680	0.798238	0.658514	-0.001999
40418.000000	0.500453	0.510673	0.798233	0.658507	-0.001997
40419.000000	0.500453	0.510665	0.798231	0.658504	-0.001989
40420.000000	0.500452	0.510661	0.798226	0.658497	-0.001985
40421.000000	0.500452	0.510661	0.798223	0.658491	-0.001982
40422.000000	0.500453	0.510659	0.798219	0.658485	-0.001975
40423.000000	0.500452	0.510662	0.798215	0.658479	-0.001970
40424.000000	0.500448	0.510671	0.798210	0.658472	-0.001965
40425.000000	0.500444	0.510665	0.798206	0.658465	-0.001964
40426.000000	0.500445	0.510661	0.798206	0.658466	-0.001955
40427.000000	0.500442	0.510655	0.798206	0.658465	-0.001943
40428.000000	0.500440	0.510655	0.798208	0.658467	-0.001931
40429.000000	0.500438	0.510654	0.798211	0.658472	-0.001925
40430.000000	0.500438	0.510649	0.798212	0.658473	-0.001923
40431.000000	0.500436	0.510647	0.798209	0.658469	-0.001926
40432.000000	0.500436	0.510643	0.798206	0.658464	-0.001928
